district,season,rainfall_mm,avg_temp_C,humidity_%,pH,N_kg_ha,P_kg_ha,K_kg_ha,crop
Chitradurga,Rabi,636.8,28.5,35.7,7.36,79.22,30.74,33.47,Cotton
Gadag,Kharif,634.2,28.0,60.7,7.61,66.71,34.45,29.36,Jowar
Udupi,Rabi,3206.1,29.5,90.2,5.7,167.93,86.72,204.87,Arecanut
Bagalkote,Rabi,677.1,29.9,51.8,6.94,22.12,15.28,23.77,Pulses
Haveri,Summer,774.7,22.5,78.9,8.07,50.32,15.79,32.0,Jowar
Shivamogga,Summer,1440.9,18.4,72.0,6.12,136.96,64.5,199.87,Arecanut
Gadag,Summer,571.1,29.9,52.9,6.76,61.6,19.56,29.19,Sorghum
Dakshina Kannada,Year-round,3878.7,22.8,80.8,5.64,254.11,82.19,192.82,Rubber
Kalaburagi,Kharif,463.6,24.1,61.1,7.45,72.29,33.95,37.65,Sunflower
Vijayapura,Rabi,671.9,29.4,35.7,6.5,56.01,59.27,71.41,Onion
Chitradurga,Kharif,542.7,23.9,69.4,6.81,37.22,19.82,24.87,Sorghum
Belagavi,Rabi,995.7,25.3,93.6,7.5,14.37,19.24,16.67,Pulses
Chitradurga,Rabi,621.3,35.6,46.9,7.67,31.85,43.96,45.21,Groundnut
Belagavi,Year-round,833.6,21.0,73.8,8.08,92.7,34.18,70.06,Maize
Gadag,Rabi,655.6,24.3,52.2,6.65,22.01,15.58,18.47,Pulses
Gadag,Kharif,696.2,28.4,62.7,6.46,60.88,25.02,46.18,Cotton
Bagalkote,Year-round,698.7,33.8,65.2,6.86,119.22,35.07,49.69,Wheat
Dharwad,Rabi,818.1,23.9,57.7,6.46,14.38,14.88,30.62,Pulses
Gadag,Kharif,607.2,29.0,62.6,7.2,15.52,21.23,21.81,Pulses
Udupi,Year-round,2900.7,29.7,44.5,5.95,231.09,120.22,322.71,Banana
Gadag,Rabi,595.6,27.2,60.9,6.35,40.79,28.85,25.17,Jowar
Belagavi,Rabi,872.5,23.4,68.1,7.64,33.5,50.78,48.25,Groundnut
Chitradurga,Kharif,517.1,23.2,75.7,6.45,105.98,54.81,58.55,Maize
Dharwad,Rabi,930.3,28.3,79.7,6.73,147.91,39.6,61.35,Maize
Shivamogga,Kharif,1748.3,18.8,74.9,5.2,143.02,65.07,151.88,Arecanut
Hassan,Kharif,1028.8,22.8,74.9,8.18,44.2,10.87,36.33,Ragi
Udupi,Year-round,3406.9,27.2,74.8,5.4,189.72,79.41,258.63,Arecanut
Ramanagara,Kharif,797.2,19.4,47.4,7.35,73.19,41.73,102.16,Tomato
Chitradurga,Kharif,666.6,22.9,45.3,7.72,97.84,23.21,36.17,Cotton
Kalaburagi,Kharif,447.3,36.9,51.4,7.27,79.44,32.35,111.49,Sugarcane
Mysuru,Rabi,1115.1,31.8,57.4,7.06,47.38,33.73,37.03,Groundnut
Chitradurga,Kharif,588.2,22.6,31.0,6.22,24.72,20.74,32.05,Groundnut
Dakshina Kannada,Kharif,3879.6,29.0,59.0,5.95,233.16,108.91,230.43,Rubber
Shivamogga,Rabi,2047.5,27.5,41.7,5.29,87.61,48.07,90.54,Vegetables
Ramanagara,Rabi,880.5,30.2,65.7,7.15,160.8,115.04,151.71,Mulberry
Hassan,Summer,877.0,19.1,77.4,7.1,29.31,18.59,23.81,Ragi
Dharwad,Rabi,974.2,32.9,79.3,6.39,72.07,40.31,61.84,Maize
Haveri,Kharif,612.4,29.5,64.6,6.55,19.46,19.59,21.1,Pulses
Haveri,Rabi,721.5,24.6,72.8,7.15,96.88,47.46,68.84,Maize
Mandya,Year-round,905.7,29.2,74.1,8.17,113.27,43.42,98.45,Sugarcane
Kalaburagi,Kharif,689.8,31.0,64.1,7.63,45.5,33.78,25.99,Jowar
Kalaburagi,Year-round,604.7,35.8,49.3,7.43,36.69,24.55,21.98,Jowar
Dakshina Kannada,Kharif,3059.0,26.5,77.1,6.15,90.58,48.01,61.08,Paddy
Ramanagara,Kharif,752.4,33.2,58.0,7.14,69.59,66.09,59.87,Tomato
Chitradurga,Kharif,533.4,25.9,44.8,5.71,89.77,21.89,32.22,Cotton
Dharwad,Rabi,856.2,31.4,78.1,7.68,61.83,18.22,36.93,Jowar
Gadag,Summer,588.6,26.0,48.4,7.78,57.58,24.58,34.97,Jowar
Gadag,Kharif,691.2,35.3,67.9,6.58,71.88,36.31,37.02,Cotton
Dharwad,Year-round,910.1,28.9,55.2,7.98,61.25,20.62,23.94,Jowar
Chitradurga,Kharif,737.3,35.1,41.4,6.14,119.13,42.2,60.38,Maize
Belagavi,Rabi,1005.3,20.1,78.9,6.59,147.26,54.27,229.27,Arecanut
Chitradurga,Summer,542.5,26.2,77.8,5.68,46.7,23.32,29.62,Sorghum
Haveri,Rabi,889.2,33.1,60.5,7.57,84.36,24.11,28.59,Cotton
Bagalkote,Kharif,671.4,28.5,72.9,7.96,33.09,20.3,15.44,Pulses
Dharwad,Rabi,925.6,20.8,56.4,7.17,87.39,48.39,38.65,Maize
Mysuru,Kharif,1028.4,30.0,66.4,7.26,57.8,32.57,41.2,Mango
Ramanagara,Kharif,858.5,20.8,36.9,5.77,62.23,39.84,74.1,Tomato
Ramanagara,Rabi,743.0,29.5,76.7,5.78,75.31,51.03,79.74,Tomato
Haveri,Rabi,786.2,22.1,37.4,8.17,47.73,21.95,24.79,Jowar
Vijayapura,Rabi,568.7,33.3,49.5,7.22,71.7,69.05,62.17,Onion
Udupi,Kharif,3365.9,27.0,77.6,5.08,196.02,102.4,250.3,Banana
Haveri,Kharif,884.7,30.1,69.0,6.99,17.71,26.61,34.82,Groundnut
Dakshina Kannada,Kharif,2316.5,23.7,94.4,6.28,227.96,67.68,230.13,Rubber
Hassan,Kharif,1025.5,25.8,84.3,6.58,32.14,21.97,25.74,Ragi
Bagalkote,Kharif,651.5,24.7,58.1,7.18,32.88,18.29,23.07,Pulses
Vijayapura,Kharif,690.6,37.7,54.4,6.82,17.7,18.03,20.81,Pulses
Belagavi,Rabi,982.9,22.9,86.8,7.98,17.56,27.79,17.03,Pulses
Haveri,Rabi,818.8,31.8,73.3,6.8,96.07,47.46,69.19,Maize
Dharwad,Rabi,857.3,32.4,55.3,6.78,93.12,43.93,63.6,Maize
Bagalkote,Kharif,797.9,33.4,54.1,7.73,50.67,30.46,36.14,Sorghum
Belagavi,Year-round,845.1,30.6,35.3,6.66,131.49,37.1,105.41,Sugarcane
Chitradurga,Kharif,638.9,22.4,57.3,5.86,20.31,21.68,22.84,Pulses
Ramanagara,Kharif,914.1,33.7,92.8,7.04,54.5,40.91,62.26,Tomato
Hassan,Kharif,1098.4,27.4,71.5,6.58,79.66,54.67,87.54,Coffee
Belagavi,Rabi,1026.4,27.5,78.5,7.92,131.59,73.87,205.44,Arecanut
Gadag,Rabi,613.0,24.9,52.2,7.84,20.91,17.76,15.95,Pulses
Dakshina Kannada,Kharif,3278.8,28.5,79.9,5.07,87.44,43.53,62.51,Paddy
Chitradurga,Summer,630.4,33.0,68.0,5.95,30.81,53.05,36.74,Groundnut
Udupi,Kharif,2879.9,30.8,80.1,5.34,65.7,51.67,68.68,Cashew
Mandya,Rabi,880.6,28.7,45.2,7.34,56.76,26.6,36.68,Ragi
Hassan,Rabi,1047.0,28.3,81.9,7.2,40.64,60.5,43.04,Vegetables
Vijayapura,Rabi,687.8,35.3,39.3,7.08,49.47,16.63,28.97,Sorghum
Dakshina Kannada,Year-round,3119.3,22.4,50.8,6.42,252.49,64.64,200.29,Rubber
Dharwad,Year-round,994.2,25.6,73.2,7.6,114.42,41.27,31.21,Wheat
Mysuru,Rabi,835.9,30.0,32.3,7.12,104.35,39.59,113.84,Sugarcane
Vijayapura,Rabi,664.5,27.4,49.9,7.04,18.26,17.95,22.85,Pulses
Dharwad,Kharif,714.8,24.7,76.6,6.36,105.11,38.31,48.05,Wheat
Chitradurga,Kharif,641.5,26.5,76.6,5.79,57.48,21.93,27.5,Sorghum
Ramanagara,Kharif,794.1,19.0,37.8,7.48,45.14,33.15,46.08,Ragi
Gadag,Year-round,590.8,23.4,36.7,6.5,27.4,18.99,25.99,Pulses
Gadag,Kharif,578.3,22.4,36.1,6.72,34.2,20.08,30.25,Jowar
Kalaburagi,Kharif,477.7,26.8,33.9,7.1,18.51,18.75,22.26,Pulses
Shivamogga,Kharif,1156.7,28.1,45.1,5.2,61.54,63.31,90.78,Vegetables
Belagavi,Kharif,1135.2,20.6,66.8,8.03,131.76,33.21,144.63,Sugarcane
Kalaburagi,Summer,622.4,30.7,57.2,7.78,21.91,24.75,19.69,Pulses
Haveri,Year-round,876.5,28.4,55.6,8.15,106.05,49.11,56.24,Maize
Bagalkote,Year-round,771.7,33.8,35.3,7.78,51.14,35.69,46.12,Sunflower
Shivamogga,Rabi,2154.3,23.2,56.6,5.05,37.89,15.42,28.96,Millets
Haveri,Kharif,738.5,23.5,71.3,7.45,21.56,19.59,20.82,Pulses
Dakshina Kannada,Rabi,3536.1,27.2,89.8,5.5,107.55,31.97,70.03,Paddy
Mandya,Rabi,715.5,27.6,77.1,7.32,124.07,43.4,48.29,Paddy
Dharwad,Year-round,818.0,31.4,36.4,6.41,45.96,19.55,38.66,Jowar
Bagalkote,Rabi,753.6,26.0,73.9,7.98,59.84,31.38,49.15,Sunflower
Bagalkote,Rabi,729.0,30.1,79.1,6.51,14.69,19.7,21.86,Pulses
Haveri,Summer,640.3,22.7,72.7,8.14,30.88,27.19,26.55,Groundnut
Gadag,Kharif,784.8,23.8,61.2,7.8,85.3,40.45,56.25,Cotton
Shivamogga,Kharif,2194.5,18.6,48.7,6.02,150.95,43.47,180.67,Arecanut
Dharwad,Kharif,885.3,25.1,61.5,7.51,25.91,19.72,23.47,Pulses
Mysuru,Kharif,1181.8,29.3,57.7,7.82,39.7,16.7,35.58,Ragi
Vijayapura,Rabi,704.0,24.7,72.4,7.59,115.06,31.96,100.03,Sugarcane
Dakshina Kannada,Kharif,2974.8,28.1,81.7,5.12,83.08,41.34,67.02,Paddy
Dharwad,Kharif,859.0,22.7,43.1,6.74,182.91,22.97,50.95,Wheat
Kalaburagi,Kharif,537.3,30.6,44.6,6.32,52.76,37.78,27.55,Sunflower
Belagavi,Summer,860.2,20.0,48.5,6.35,28.24,8.76,20.68,Pulses
Vijayapura,Kharif,549.9,26.1,56.0,6.98,87.59,47.33,111.87,Sugarcane
Gadag,Kharif,506.0,34.9,70.9,6.71,54.41,21.98,38.83,Sorghum
Chitradurga,Summer,651.5,35.0,63.3,5.56,57.19,31.15,20.94,Sorghum
Kalaburagi,Rabi,474.2,27.1,50.7,7.89,70.55,22.57,32.31,Sunflower
Mysuru,Year-round,1079.7,30.2,61.8,8.02,35.06,36.02,38.51,Groundnut
Chitradurga,Kharif,543.2,26.9,79.7,7.41,93.64,39.44,74.15,Maize
Ramanagara,Rabi,848.2,21.3,69.4,6.82,126.82,35.15,45.77,Maize
Hassan,Kharif,1009.4,19.0,68.8,6.31,89.05,36.59,120.44,Sugarcane
Vijayapura,Kharif,692.1,27.9,63.5,7.37,48.4,21.79,21.99,Sorghum
Gadag,Summer,764.5,27.6,75.4,7.45,37.96,21.65,23.62,Jowar
Dakshina Kannada,Kharif,2205.7,23.4,77.3,5.51,181.85,81.96,228.68,Rubber
Gadag,Kharif,633.5,23.1,72.8,6.73,46.56,21.96,31.02,Jowar
Haveri,Rabi,781.0,26.4,78.1,7.47,21.63,41.83,60.5,Groundnut
Ramanagara,Summer,978.4,19.9,44.6,6.81,106.8,27.24,48.33,Maize
Belagavi,Rabi,1102.2,26.5,64.2,7.36,30.74,42.66,42.49,Groundnut
Vijayapura,Kharif,537.9,33.5,40.4,7.4,73.74,53.6,71.77,Onion
Udupi,Rabi,3964.8,28.5,43.4,5.47,166.41,46.8,202.61,Arecanut
Chitradurga,Kharif,680.3,28.4,37.4,7.64,118.75,44.69,45.69,Maize
Udupi,Summer,3270.4,23.0,79.3,5.65,55.42,44.38,53.69,Coconut
Shivamogga,Rabi,1646.0,29.6,54.2,5.96,134.38,29.48,59.21,Paddy
Dakshina Kannada,Rabi,3261.3,29.3,66.4,6.25,224.45,82.98,139.47,Rubber
Mandya,Summer,737.4,29.2,61.0,6.5,151.87,39.04,119.1,Sugarcane
Vijayapura,Kharif,602.9,28.7,59.6,7.32,133.5,72.49,121.54,Grapes
Shivamogga,Rabi,1115.2,31.5,80.6,6.47,164.0,67.79,194.72,Arecanut
Udupi,Year-round,3286.2,27.3,66.5,5.51,168.29,67.57,234.59,Arecanut
Bagalkote,Kharif,752.7,28.4,68.3,7.53,111.84,36.92,36.44,Wheat
Belagavi,Kharif,1096.3,22.0,81.5,7.15,33.4,33.84,18.44,Groundnut
Gadag,Kharif,765.3,28.6,74.0,7.74,46.54,22.34,25.86,Jowar
Chitradurga,Rabi,568.8,22.6,31.1,6.06,19.18,20.44,17.52,Pulses
Ramanagara,Kharif,884.1,18.6,59.3,6.09,65.73,26.29,56.09,Ragi
Gadag,Rabi,556.4,34.2,38.4,7.03,47.86,13.39,21.21,Sorghum
Hassan,Kharif,1075.3,20.5,81.9,6.33,38.62,12.55,33.94,Ragi
Dharwad,Kharif,909.9,24.9,71.4,7.4,27.67,32.76,28.69,Groundnut
Dakshina Kannada,Rabi,3609.7,27.9,62.2,5.33,135.21,36.06,213.46,Arecanut
Vijayapura,Kharif,469.2,30.8,68.0,6.48,58.2,56.68,82.67,Onion
Dakshina Kannada,Kharif,2674.9,27.2,67.2,5.54,210.86,110.28,314.78,Banana
Mandya,Kharif,713.2,22.0,58.8,8.18,48.89,23.65,35.7,Ragi
Mysuru,Summer,1037.4,30.5,90.2,6.51,114.12,30.2,81.44,Paddy
Vijayapura,Kharif,596.7,34.1,65.6,6.39,88.0,61.56,69.64,Onion
Gadag,Year-round,580.9,30.3,31.4,6.66,32.98,34.39,27.84,Jowar
Bagalkote,Kharif,650.9,31.5,60.0,6.79,20.03,25.61,56.05,Groundnut
Haveri,Rabi,608.2,28.6,39.8,7.11,16.93,14.45,21.28,Pulses
Vijayapura,Rabi,712.4,29.4,68.4,6.34,41.42,17.4,31.73,Sorghum
Udupi,Year-round,3333.3,27.4,63.9,6.14,205.01,126.37,266.03,Banana
Dakshina Kannada,Rabi,3284.7,28.0,58.8,6.49,171.84,103.57,265.16,Banana
Shivamogga,Kharif,1161.3,19.8,92.2,6.05,88.93,47.97,38.75,Paddy
Gadag,Rabi,605.8,26.3,77.2,6.76,79.43,32.71,42.53,Cotton
Shivamogga,Kharif,1020.0,29.1,67.0,5.95,33.25,25.69,23.89,Millets
Belagavi,Kharif,844.6,30.1,77.0,6.8,121.52,25.48,44.22,Maize
Dharwad,Summer,874.3,25.5,71.2,6.7,32.39,33.07,35.3,Groundnut
Udupi,Kharif,2829.1,30.5,60.7,5.77,67.56,34.19,86.59,Paddy
Vijayapura,Kharif,544.8,35.9,76.9,7.8,58.83,26.94,29.45,Sorghum
Dharwad,Kharif,982.1,24.5,85.7,7.54,34.85,19.81,21.9,Pulses
Hassan,Kharif,1154.5,24.6,67.4,7.88,43.06,51.91,93.21,Coffee
Dharwad,Summer,890.1,20.1,53.0,7.54,23.34,18.36,28.83,Pulses
Haveri,Kharif,708.2,29.1,66.7,6.74,84.89,41.53,80.72,Maize
Vijayapura,Rabi,660.1,31.5,75.2,6.77,165.15,22.09,99.53,Sugarcane
Gadag,Summer,619.7,26.9,54.1,7.98,24.94,35.67,43.37,Groundnut
Haveri,Kharif,645.0,33.4,66.9,8.18,22.51,23.02,15.91,Pulses
Belagavi,Kharif,946.1,22.3,55.1,7.49,125.72,33.64,103.54,Sugarcane
Dharwad,Rabi,709.5,22.8,69.4,7.99,35.63,22.37,27.73,Jowar
Vijayapura,Rabi,733.4,35.2,35.7,6.87,20.39,21.93,20.21,Pulses
Dakshina Kannada,Rabi,3024.8,23.6,56.4,5.79,85.18,70.89,116.5,Pepper
Chitradurga,Rabi,598.4,24.5,48.5,5.5,68.57,33.16,39.61,Cotton
Haveri,Rabi,849.0,25.1,68.8,7.67,53.95,18.53,33.32,Jowar
Udupi,Kharif,3123.0,25.0,57.7,5.29,221.8,126.86,283.7,Banana
Haveri,Rabi,700.1,27.7,30.5,6.91,32.27,45.7,33.28,Groundnut
Udupi,Rabi,3972.5,24.5,51.4,5.51,148.57,68.96,211.31,Arecanut
Mysuru,Year-round,1068.1,22.8,48.8,6.48,54.7,27.28,40.8,Mango
Chitradurga,Kharif,506.7,33.8,32.0,7.42,43.55,22.46,21.77,Sorghum
Chitradurga,Summer,581.8,29.2,54.4,6.05,19.17,12.16,14.79,Pulses
Belagavi,Kharif,910.2,25.4,42.7,8.16,153.21,44.29,166.11,Arecanut
Haveri,Kharif,664.5,29.9,34.2,7.65,106.27,47.17,74.66,Maize
Hassan,Year-round,1019.8,22.6,73.3,7.48,97.2,37.32,43.54,Paddy
Chitradurga,Kharif,657.3,28.0,46.5,6.56,60.24,27.11,39.37,Cotton
Shivamogga,Rabi,1637.7,30.1,50.5,5.84,183.31,61.53,241.67,Arecanut
Dakshina Kannada,Kharif,2204.1,25.7,60.2,6.23,52.2,27.34,33.87,Coconut
Dakshina Kannada,Rabi,3118.1,29.3,50.3,5.92,72.68,58.73,95.27,Pepper
Dharwad,Rabi,800.6,21.9,44.6,7.94,44.92,19.36,25.67,Jowar
Kalaburagi,Rabi,465.2,31.1,68.9,7.84,55.04,22.57,40.3,Jowar
Dharwad,Rabi,840.2,23.5,68.6,7.44,141.03,34.61,37.1,Wheat
Ramanagara,Kharif,720.2,32.0,74.9,6.48,26.16,35.99,41.14,Ragi
Chitradurga,Year-round,639.0,32.5,35.6,6.81,51.88,25.76,30.84,Sorghum
Kalaburagi,Rabi,504.0,29.5,62.6,6.31,52.42,19.3,25.19,Jowar
Udupi,Kharif,2520.2,29.3,76.1,5.25,43.47,39.26,34.14,Coconut
Shivamogga,Kharif,1582.2,25.4,62.8,5.4,129.36,40.74,215.06,Arecanut
Mandya,Kharif,973.5,29.3,40.9,6.8,45.91,25.82,43.34,Coconut
Kalaburagi,Kharif,558.7,35.0,49.2,8.11,42.69,29.26,44.56,Sunflower
Ramanagara,Year-round,835.2,20.4,53.5,6.02,76.23,24.21,34.97,Ragi
Dakshina Kannada,Rabi,3447.0,30.8,87.1,6.08,166.86,54.55,207.68,Rubber
Shivamogga,Rabi,1015.6,30.8,61.5,5.85,119.1,27.23,49.27,Paddy
Belagavi,Kharif,1018.9,28.2,45.4,7.92,26.73,43.45,39.04,Groundnut
Udupi,Kharif,3343.7,26.8,76.5,5.51,156.5,57.22,235.32,Arecanut
Belagavi,Rabi,825.4,26.6,41.5,7.11,20.48,27.03,19.42,Pulses
Kalaburagi,Kharif,675.9,28.1,54.4,6.4,7.4,29.54,9.64,Pulses
Bagalkote,Year-round,792.6,33.9,38.2,6.47,105.71,33.45,29.56,Cotton
Shivamogga,Rabi,1883.4,27.1,73.0,5.1,67.81,31.97,42.02,Coconut
Bagalkote,Kharif,695.6,30.3,63.1,6.68,123.97,37.34,46.09,Wheat
Gadag,Kharif,549.7,30.7,61.4,7.25,81.1,27.85,35.17,Cotton
Ramanagara,Kharif,879.5,29.4,71.8,6.8,93.5,42.64,86.78,Tomato
Haveri,Year-round,821.1,23.6,71.1,7.59,86.34,19.74,30.04,Cotton
Gadag,Kharif,521.1,25.2,75.6,7.42,50.65,23.05,24.65,Sorghum
Vijayapura,Rabi,627.9,26.4,45.0,6.96,92.18,55.97,120.42,Grapes
Belagavi,Rabi,833.1,27.0,78.5,6.93,17.26,19.26,14.36,Pulses
Haveri,Kharif,835.4,27.9,76.2,7.97,158.54,40.54,42.88,Maize
Haveri,Rabi,706.4,29.4,36.9,7.94,19.35,22.19,22.83,Pulses
Haveri,Kharif,878.3,30.3,60.6,8.13,79.25,35.42,79.02,Maize
Haveri,Rabi,732.2,28.0,57.8,7.45,96.56,28.04,45.73,Maize
Gadag,Rabi,647.3,34.5,50.6,7.04,10.51,19.01,26.2,Pulses
Ramanagara,Summer,946.3,29.0,62.3,6.97,42.04,33.56,39.09,Groundnut
Dharwad,Rabi,754.4,31.4,38.1,7.87,33.19,51.97,44.84,Groundnut
Dharwad,Kharif,703.8,30.6,63.6,6.7,22.72,36.01,45.37,Groundnut
Bagalkote,Summer,622.5,30.4,42.1,7.65,84.04,54.27,148.38,Sugarcane
Chitradurga,Year-round,714.1,36.0,47.3,7.62,57.45,15.35,40.18,Sorghum
Mandya,Year-round,954.5,22.3,57.5,7.07,86.1,32.48,90.77,Vegetables
Kalaburagi,Rabi,611.8,33.8,60.5,6.69,17.06,25.04,22.71,Pulses
Vijayapura,Summer,497.5,27.6,48.0,6.43,67.55,63.75,99.2,Onion
Vijayapura,Rabi,461.9,33.5,64.0,7.42,86.34,38.56,123.92,Sugarcane
Mandya,Kharif,884.1,32.1,55.8,7.44,108.26,51.87,117.36,Sugarcane
Shivamogga,Kharif,1474.4,21.3,50.8,5.39,107.16,68.48,90.23,Vegetables
Kalaburagi,Rabi,594.7,29.7,37.0,7.52,26.58,19.82,15.76,Pulses
Chitradurga,Kharif,633.7,30.2,41.5,5.96,28.98,17.96,16.15,Pulses
Bagalkote,Kharif,741.5,32.5,79.2,8.01,106.6,33.14,142.17,Sugarcane
Shivamogga,Rabi,1172.4,21.8,65.7,6.22,64.31,64.95,59.72,Vegetables
Haveri,Kharif,659.4,26.7,49.4,8.15,77.39,31.98,45.46,Cotton
Ramanagara,Summer,888.8,19.9,63.6,6.3,75.99,52.34,74.59,Maize
Kalaburagi,Kharif,658.6,25.2,57.3,6.72,61.87,34.55,31.73,Jowar
Ramanagara,Rabi,875.5,33.7,42.8,6.77,69.01,45.44,78.59,Tomato
Ramanagara,Summer,908.4,18.0,59.0,7.33,22.02,33.3,33.91,Groundnut
Mandya,Kharif,882.0,21.5,58.6,7.72,46.71,21.83,28.89,Ragi
Haveri,Kharif,866.5,23.0,58.6,7.04,89.69,23.15,46.4,Cotton
Haveri,Year-round,719.6,27.9,52.1,7.74,42.95,31.76,29.85,Jowar
Mandya,Kharif,757.0,22.8,50.1,7.36,95.5,52.07,61.2,Vegetables
Dharwad,Kharif,714.8,26.7,62.5,7.6,121.79,30.57,37.83,Wheat
Hassan,Kharif,892.3,23.2,78.0,6.38,145.44,74.51,219.82,Arecanut
Hassan,Rabi,925.6,19.3,49.6,7.35,142.14,32.87,129.84,Sugarcane
Haveri,Summer,600.1,22.5,70.8,6.27,20.55,37.51,43.7,Groundnut
Gadag,Year-round,717.0,26.0,42.9,7.71,19.31,23.09,12.24,Pulses
Ramanagara,Kharif,810.2,25.7,43.5,6.26,23.33,38.12,37.64,Groundnut
Haveri,Rabi,697.3,22.2,55.7,6.67,35.23,43.38,40.23,Groundnut
Udupi,Kharif,2713.2,28.6,53.0,5.38,57.02,44.88,86.89,Cashew
Dharwad,Rabi,912.2,21.9,52.5,8.15,67.24,20.58,26.99,Jowar
Belagavi,Year-round,1105.8,20.9,84.9,7.79,55.49,25.2,47.11,Rice
Vijayapura,Rabi,502.0,36.6,64.0,6.25,18.06,25.95,20.62,Pulses
Hassan,Kharif,1127.5,22.8,79.0,7.61,75.02,46.52,61.05,Vegetables
Bagalkote,Summer,691.8,25.6,74.5,7.17,51.91,16.61,28.63,Sorghum
Dakshina Kannada,Rabi,3429.8,27.8,46.3,6.01,177.35,69.72,191.85,Rubber
Haveri,Kharif,846.8,31.7,54.9,8.18,31.06,35.92,26.88,Groundnut
Bagalkote,Kharif,639.7,25.4,62.8,7.49,62.7,24.82,36.76,Cotton
Mysuru,Year-round,1180.3,30.7,52.7,7.4,97.02,25.62,53.62,Paddy
Dharwad,Rabi,796.5,27.5,63.3,6.51,22.49,20.36,24.71,Pulses
Dakshina Kannada,Kharif,3564.5,31.1,72.3,5.0,209.59,74.94,173.64,Arecanut
Hassan,Rabi,1077.6,20.2,70.4,7.03,52.66,24.17,32.36,Ragi
Gadag,Summer,770.8,30.1,70.4,6.72,57.32,15.61,22.2,Sorghum
Udupi,Rabi,2589.8,30.2,64.5,5.91,112.16,23.89,54.31,Paddy
Belagavi,Year-round,1160.1,31.3,68.3,7.27,113.99,27.6,50.03,Maize
Chitradurga,Rabi,731.8,25.0,54.0,7.79,94.4,34.39,47.89,Cotton
Shivamogga,Kharif,1029.5,26.2,68.3,6.0,42.93,16.05,17.75,Millets
Mandya,Kharif,701.6,23.0,46.8,7.03,142.85,59.59,71.64,Vegetables
Chitradurga,Summer,669.1,30.9,37.5,6.96,23.1,25.04,20.33,Pulses
Belagavi,Kharif,1182.7,27.7,83.6,7.26,33.24,19.83,18.22,Pulses
Belagavi,Kharif,1075.1,22.6,78.7,7.48,146.56,20.44,105.16,Sugarcane
Gadag,Rabi,650.7,28.0,30.9,7.16,20.57,20.42,27.74,Pulses
Mysuru,Year-round,1081.0,30.6,85.9,7.02,114.28,64.97,113.35,Vegetables
Dharwad,Kharif,982.8,29.1,48.4,6.85,15.84,20.35,19.04,Pulses
Bagalkote,Kharif,716.8,29.6,64.4,6.54,42.71,21.53,35.11,Sorghum
Ramanagara,Kharif,884.8,32.9,40.1,7.41,78.19,27.64,30.88,Ragi
Vijayapura,Rabi,669.8,34.1,36.7,6.95,62.38,19.34,35.56,Sorghum
Vijayapura,Rabi,570.2,24.6,79.9,7.49,98.11,40.17,89.22,Onion
Haveri,Rabi,698.9,22.1,60.2,6.84,24.43,14.42,15.47,Pulses
Shivamogga,Kharif,1353.9,26.1,57.8,6.27,62.97,30.7,56.54,Coconut
Mandya,Summer,768.8,24.2,55.2,7.53,113.27,54.05,100.42,Sugarcane
Shivamogga,Rabi,1779.3,23.1,47.9,5.24,93.21,41.58,77.39,Paddy
Dharwad,Summer,827.2,23.2,70.7,6.47,98.39,31.79,79.38,Maize
Dakshina Kannada,Summer,3144.4,23.9,48.1,5.32,245.7,83.35,191.69,Rubber
Dakshina Kannada,Rabi,3068.3,29.7,62.9,5.99,169.35,137.6,265.38,Banana
Hassan,Kharif,1057.3,18.8,69.4,6.43,146.97,52.1,199.28,Arecanut
Hassan,Year-round,1104.3,19.9,83.6,6.44,119.77,29.89,129.54,Sugarcane
Gadag,Kharif,594.9,31.6,52.9,6.82,35.84,22.4,42.88,Jowar
Dakshina Kannada,Kharif,3880.3,27.2,65.5,5.06,108.19,74.72,144.27,Pepper
Haveri,Rabi,710.9,25.1,44.0,7.25,113.8,38.64,63.65,Maize
Belagavi,Rabi,1023.2,30.4,66.7,6.64,36.88,42.95,53.71,Groundnut
Mysuru,Kharif,1106.3,21.4,45.0,7.08,83.49,45.21,79.0,Vegetables
Gadag,Kharif,526.5,32.5,65.0,7.04,61.88,25.28,25.19,Sorghum
Kalaburagi,Kharif,546.7,32.8,46.6,6.89,66.79,29.54,49.29,Sunflower
Shivamogga,Kharif,1501.8,22.7,87.8,5.72,112.09,32.85,99.61,Sugarcane
Hassan,Kharif,1094.0,29.6,85.3,7.7,135.5,43.86,163.54,Sugarcane
Dharwad,Kharif,767.5,22.1,78.2,7.62,105.34,35.27,74.52,Maize
Ramanagara,Rabi,850.4,31.6,51.4,5.52,155.55,81.04,140.35,Mulberry
Chitradurga,Rabi,627.5,30.9,39.1,6.56,16.73,23.34,17.72,Pulses
Ramanagara,Rabi,756.8,33.9,48.2,6.89,114.44,32.37,69.7,Maize
Chitradurga,Kharif,621.2,28.0,56.6,6.47,22.62,31.97,33.29,Groundnut
Mandya,Kharif,983.5,26.6,90.0,6.31,55.84,57.17,83.6,Vegetables
Gadag,Kharif,631.8,23.8,41.3,6.93,74.04,36.7,41.27,Cotton
Dharwad,Year-round,902.6,24.1,40.1,7.64,31.4,36.25,52.62,Groundnut
Hassan,Rabi,850.3,27.1,46.3,6.73,124.7,37.46,109.58,Sugarcane
